NAME,RA,DEC,S1400
001924-181938,4.8524583,-18.3274167,117.6
001929+054322,4.8724167,5.7230278,118.3
001931-043547,4.8812083,-4.5966111,674.1
001935-140014,4.8964583,-14.004,101.0
001936-010525,4.9019167,-1.0903333,102.5
001946+025808,4.9437917,2.9690278,174.9
001946-112938,4.9439583,-11.4941111,185.7
001952-071541,4.9670417,-7.2613889,173.8
002002-052109,5.0094167,-5.3525278,131.4
002005-003457,5.0215417,-0.5825833,167.2
002015+000447,5.0634167,0.0799722,107.7
002015-132252,5.0644167,-13.3812778,234.3
002021-023308,5.0904583,-2.5522778,578.9
002026-104856,5.11175,-10.8156944,116.6
002027+043606,5.1139583,4.6017778,109.2
002030+043816,5.1259583,4.6380278,143.8
002036-024443,5.1518333,-2.7453889,114.3
002041-112059,5.1730833,-11.3499444,371.7
002047+080226,5.1995,8.0407778,114.6
002050-085734,5.2097917,-8.9596389,694.2
002054+081219,5.2265,8.2053056,146.2
002056-190844,5.2333333,-19.1456944,119.7
002056+053321,5.2350417,5.5560833,321.6
002105-041829,5.27325,-4.3081667,370.0
002105-184438,5.2748333,-18.7438889,203.3
002107-005530,5.2809583,-0.92525,112.9
002109-191021,5.2890417,-19.1725833,106.8
002113-191043,5.3047917,-19.1787778,915.3
002125+014644,5.3547917,1.7790278,123.8
002125-005540,5.355875,-0.9278889,1164.0
002145-155528,5.4387917,-15.9246944,173.8
002150-142001,5.459625,-14.3337222,143.3
002152-123355,5.469,-12.5655278,203.6
002155-123411,5.482375,-12.5699444,199.6
002205-174613,5.5220417,-17.7703611,103.3
002208-080907,5.5334583,-8.1519722,101.6
002208-104132,5.537375,-10.6923889,417.4
002216-032205,5.5667083,-3.3683056,139.1
002216-082048,5.566875,-8.3466667,120.6
002222-155641,5.5939583,-15.9447778,247.8
002223-070235,5.596,-7.0430833,530.2
002225+001456,5.6059167,0.2489444,3009.2
002225+050209,5.6069167,5.0359722,135.1
002232+060804,5.63525,6.1346111,339.7
002239-114909,5.6648333,-11.8191944,195.8
002241-014553,5.67325,-1.7647778,153.8
002244+080857,5.684625,8.1491944,278.4
002247-044108,5.698875,-4.6856667,153.6
002305-185554,5.7722083,-18.9318333,232.5
002311-140123,5.7982083,-14.0233056,115.8
002317-142258,5.821125,-14.3827778,303.0
002317+053835,5.8219167,5.6431389,225.8
002317-172014,5.8227083,-17.3374722,119.9
002318-080030,5.8250417,-8.0083333,212.2
002319-074449,5.8292917,-7.7470278,795.1
002319+042848,5.83225,4.4801667,573.0
002322-052527,5.842875,-5.4243333,157.9
002325-091540,5.854375,-9.26125,117.4
002326-144701,5.85925,-14.7836944,143.0
002329-040321,5.8739583,-4.0558333,110.5
002332-195712,5.8870417,-19.9534167,107.6
002336-025306,5.900875,-2.8852222,372.3
002337+041641,5.9065,4.2781944,207.2
002346-193124,5.9457083,-19.5235,176.2
002348-045001,5.9540417,-4.8338611,226.1
002400-081109,6.003,-8.1860278,134.9
002408-104237,6.034625,-10.7104444,129.4
002414+043706,6.0613333,4.6185,120.6
002427+083800,6.113625,8.6333889,174.6
002428-160918,6.1190417,-16.1551389,175.2
002433-093938,6.1397917,-9.6607778,150.8
002442+073137,6.1770833,7.5270278,125.9
002445-041201,6.1915833,-4.2005278,260.0
002446-112338,6.1944583,-11.3940278,107.7
002508-024016,6.286625,-2.6711944,119.7
002509-043936,6.2894583,-4.6601667,101.3
002510-130953,6.29425,-13.1647222,201.9
002523+072603,6.3471667,7.4343611,113.6
002526-180449,6.36125,-18.0803889,125.5
002530+082647,6.377375,8.4464167,106.5
002534-064329,6.3925833,-6.7249722,103.2
002539-031311,6.4152083,-3.2198889,156.4
002546-124725,6.4444167,-12.7903333,394.4
002549+060940,6.4581667,6.1611667,190.8
002549+050224,6.4582917,5.0401667,113.0
002552-144117,6.4669167,-14.6882222,229.4
002554+083711,6.4762917,8.6198333,179.8
002605-190621,6.5241667,-19.1058333,165.1
002609-150250,6.5385833,-15.0473889,253.8
002609-124749,6.539,-12.7969722,911.3
002615-041932,6.5637083,-4.3255556,114.8
002620-010439,6.5852917,-1.0775278,244.4
002622+041940,6.5939583,4.3279722,128.6
002626-013850,6.611875,-1.6472222,151.8
002631-084238,6.63175,-8.7106667,437.7
002633-151112,6.638625,-15.1867778,113.7
002634-073750,6.6441667,-7.6306389,224.4
002637-125414,6.655,-12.9040278,146.1
002642+033952,6.6750833,3.6645833,108.6
002651-111252,6.714375,-11.2145556,168.9
002657-131851,6.7387083,-13.3142222,283.7
002705+092957,6.774375,9.49925,219.7
002707-124855,6.779875,-12.8154722,103.4
002711-124821,6.7980417,-12.8059722,265.8
002713+013633,6.80575,1.6093333,135.0
002719+022427,6.83,2.4075556,132.8
002725-035000,6.854375,-3.8334722,243.5
002735-031808,6.8995,-3.30225,134.9
002736+030119,6.9025833,3.0221944,162.4
002750+094203,6.9610833,9.701,259.9
002751+032228,6.9627083,3.3746667,208.8
002758-085509,6.9947917,-8.9192778,355.5
002808-123353,7.0341667,-12.5648889,111.4
002811-055727,7.0489583,-5.95775,359.2
002822-170657,7.0938333,-17.116,249.9
002822-124115,7.0949167,-12.6875556,102.3
002825-002726,7.1042917,-0.4574444,455.9
002830-065415,7.1254583,-6.9043611,167.5
002831-002540,7.130625,-0.428,645.1
002833+005510,7.1391667,0.9196944,246.8
002834+073611,7.1452917,7.6033056,133.1
002842+081110,7.178875,8.1861111,136.7
002846+075759,7.1917083,7.9666111,188.3
002847-143654,7.1985417,-14.6151667,114.9
002854-105207,7.228875,-10.8688056,106.1
002855-191533,7.2299583,-19.2593611,172.3
002901-011341,7.2543333,-1.2281389,284.8
002903+050934,7.2649583,5.1594722,439.8
002905+085420,7.2713333,8.9057222,114.7
002913-010928,7.3050417,-1.1578333,135.2
002918-060519,7.327625,-6.0888056,107.4
002921-032947,7.338875,-3.4964722,102.0
002922-111151,7.3442083,-11.1975556,764.5
002926+081729,7.361875,8.2915278,125.3
002927-074156,7.3655,-7.6991111,151.8
002945-174043,7.4376667,-17.6787778,394.3
002945+055439,7.4410833,5.9109722,293.8
002948+004446,7.45225,0.74625,122.0
002954-115126,7.4759583,-11.8572778,177.7
002956-121632,7.4851667,-12.2755556,161.0
002956-114315,7.4862083,-11.7208333,438.9
002959-114403,7.4965,-11.7343056,433.9
003003-140647,7.5164167,-14.1131389,263.6
003012+055525,7.5515833,5.9236111,150.4
003031-021156,7.6325,-2.1991111,150.6
003039-102333,7.6625417,-10.3927222,115.4
003040+054714,7.6700417,5.7874722,463.7
003055-012831,7.730125,-1.4755,114.2
003057-185436,7.7400833,-18.9100833,145.7
003058+011559,7.742875,1.2665278,318.7
003101-124850,7.7548333,-12.8139722,118.8
003102-091202,7.7620833,-9.2006667,330.5
003103-132658,7.7635417,-13.4496389,154.1
003112-011241,7.800125,-1.2115833,136.3
003119-165207,7.8294583,-16.8688056,197.9
003127-004921,7.862625,-0.8226667,116.1
003130+084312,7.8790833,8.7200833,155.0
003131+052512,7.8819583,5.4201667,155.2
003131-010018,7.88275,-1.0051111,520.5
003133-010121,7.890125,-1.0225278,463.5
003136-184324,7.904,-18.7235833,109.6
003140-061335,7.919375,-6.2263889,143.4
003146-093310,7.9432083,-9.5530278,195.2
003149-151300,7.9544167,-15.2167778,161.4
003149+055300,7.956375,5.8835,111.1
003153+044448,7.9712917,4.7468056,150.9
003153-141859,7.9732917,-14.3165,114.8
003156-142619,7.985125,-14.4386111,213.3
003157+025520,7.9908333,2.9223611,118.0
003158-031240,7.9917083,-3.21125,152.9
003200-085137,8.0040833,-8.8604444,581.1
003206+031114,8.0275833,3.1872778,147.7
003207+013655,8.03325,1.6155278,693.9
003217-034907,8.0722083,-3.8186389,588.8
003221-061350,8.0886667,-6.2306389,104.7
003227+054531,8.115,5.7588611,105.0
003228-075046,8.117875,-7.8462222,141.2
003232-033705,8.1349167,-3.6182778,295.7
003236+083659,8.1531667,8.6164444,119.1
003242-123339,8.177375,-12.5608889,239.9
003244-144118,8.185,-14.6885556,107.3
003244-133115,8.1856667,-13.5209722,127.0
003246-001919,8.19225,-0.3219444,140.2
003249-002000,8.204875,-0.3333333,131.8
003251-101803,8.2163333,-10.3008333,144.8
003253+083525,8.2238333,8.5903889,299.9
003253+061911,8.2245833,6.3198056,429.4
003259-001318,8.2467917,-0.2217222,233.3
003310+043109,8.2930833,4.51925,234.9
003312+033550,8.3035417,3.5973333,109.3
003313-182602,8.3060833,-18.4339722,319.3
003314+062816,8.3124583,6.4711944,777.2
003318-174431,8.328875,-17.7421111,131.7
003321-090601,8.3382083,-9.1004167,240.7
003332-165015,8.3847917,-16.8376389,340.9
003333-113219,8.3875417,-11.5387778,286.1
003339+024345,8.413375,2.7292222,157.8
003339+024251,8.4139167,2.7143333,136.6
003340+041253,8.4176667,4.2148889,133.7
003347+041202,8.4468333,4.2006667,107.3
003352-161100,8.4690417,-16.1834444,362.0
003352-174027,8.46975,-17.6742778,475.7
003354-073057,8.4775,-7.5160833,247.3
003354-073007,8.4777917,-7.5021389,823.1
003401+071952,8.5060417,7.3313333,112.5
003405+062038,8.5210417,6.3440833,224.4
003406+051457,8.5261667,5.2493333,217.7
003407+073433,8.5317917,7.5759167,181.0
003411-063131,8.5460833,-6.5253611,143.6
003414-033509,8.5595417,-3.5859444,109.3
003418+011947,8.5790417,1.3297222,340.5
003419+011807,8.5820833,1.3021944,404.6
003423-052802,8.5967083,-5.4672222,129.7
003424-175924,8.6007917,-17.9901944,639.1
003429-114818,8.6219583,-11.8051667,155.7
003436+021435,8.6512917,2.2431667,157.7
003437-161723,8.658125,-16.2899167,103.1
003438-014309,8.6595417,-1.7191944,123.7
003440-104924,8.6702917,-10.8235,184.7
003443+013024,8.681625,1.5067222,233.3
003446-082329,8.695375,-8.3915556,131.4
003448-091316,8.7013333,-9.2211389,116.0
003452+083635,8.717625,8.6097222,103.5
003456-064914,8.7339167,-6.8207222,102.1
003456-105026,8.7347917,-10.8407222,114.1
003456+023310,8.7349167,2.5529167,149.7
003456-082820,8.735625,-8.4723056,157.3
003457-183310,8.7415,-18.553,176.0
003502-083439,8.7612083,-8.5777222,378.4
003504-141609,8.7696667,-14.2691944,329.4
003511+013445,8.7985417,1.5793056,104.3
003512+010430,8.80375,1.0751944,100.8
003514+011438,8.808625,1.2440556,200.7
003530-003127,8.8788333,-0.5241667,195.7
003533-065426,8.8875833,-6.9074722,119.7
003536+075417,8.9036667,7.9048611,105.8
003537-163501,8.9052917,-16.5838333,833.8
003537+042738,8.9065833,4.4607778,282.6
003539-070923,8.915375,-7.1564722,103.0
003543+083211,8.9325,8.5364444,143.6
003546-083553,8.9425417,-8.5981389,120.1
003554-095231,8.9757917,-9.8755278,104.3
003554+064452,8.9785833,6.7480278,106.4
003558-035146,8.9942083,-3.8628056,219.9
003600+020115,9.0,2.0208611,103.9
003601-100340,9.0049167,-10.0611944,106.2
003601-035226,9.0082083,-3.8738889,178.5
003605-142959,9.0228333,-14.4998889,102.1
003606-093231,9.0285833,-9.5420833,107.4
003615-034218,9.0648333,-3.7051111,129.5
003616+081503,9.0672917,8.2510278,309.6
003618-111649,9.0752083,-11.2804167,326.9
003622-143134,9.0933333,-14.5262778,115.5
003626-025820,9.111875,-2.9722222,109.7
003627+001303,9.1125833,0.2175556,608.3
003633-190520,9.1384583,-19.0890833,239.8
003635-031817,9.1479583,-3.3047222,132.7
003636+004854,9.1504583,0.8150278,279.6
003636-115307,9.1505417,-11.8853889,119.8
003636+080009,9.1539167,8.0025,337.2
003638-024008,9.1588333,-2.6690278,103.3
003642-051308,9.1761667,-5.2189444,213.4
003648-193157,9.2005417,-19.5325833,140.8
003649+061810,9.2050833,6.3027778,235.1
003657+001711,9.239,0.2865833,154.4
003701-173828,9.255875,-17.64125,136.0
003701-115924,9.2565833,-11.99025,108.6
003704-010909,9.2669167,-1.1526111,4067.1
003704-091053,9.2685833,-9.1816111,107.4
003715-061919,9.31575,-6.3220278,174.1
003718+085550,9.3286667,8.9306389,114.5
003727-001911,9.366375,-0.3198611,223.8
003745+020011,9.4415833,2.0031667,104.8
003757-053322,9.4892917,-5.5561667,320.1
003757+023312,9.4910833,2.5534444,118.8
003758-054316,9.4919583,-5.7213333,106.1
003803+043651,9.5139167,4.6143611,168.4
003807+093436,9.5305417,9.5768889,116.9
003808+071223,9.534125,7.2065556,140.2
003810-035745,9.5455833,-3.96275,105.1
003814-104136,9.560625,-10.6935556,111.9
003818-185151,9.5769167,-18.8643611,181.7
003820-020740,9.5850417,-2.1278889,6187.8
003820-032959,9.5865,-3.4998611,225.2
003822-111248,9.5948333,-11.2133333,183.2
003823-125251,9.5966667,-12.8808611,306.3
003824-185207,9.6025417,-18.8688333,201.3
003831+025422,9.63225,2.9061944,144.9
003834+045049,9.6443333,4.8471389,227.5
003836+070705,9.6538333,7.1181111,179.5
003837-171601,9.6568333,-17.267,100.2
003843+031120,9.6830833,3.1891389,113.2
003844-093420,9.6867917,-9.5723889,100.5
003852-012155,9.7168333,-1.3654444,194.0
003906-094247,9.7761667,-9.7131667,153.3
003906-144154,9.7770833,-14.6985833,234.6
003911+031956,9.7999583,3.3323611,297.3
003913-025707,9.805875,-2.952,174.7
003916-185405,9.820625,-18.9014722,236.6
003920+031949,9.8347917,3.3303333,980.0
003925-080226,9.85425,-8.0405556,349.9
003931-111102,9.8815417,-11.1839722,308.1
003938-074611,9.909625,-7.7699722,378.5
003940+062908,9.9190417,6.4855556,125.4
003941-125637,9.9249583,-12.9438056,103.6
003952+045531,9.9666667,4.9253056,819.7
004006+005056,10.0281667,0.8489167,100.1
004008+031306,10.0354583,3.2183889,110.9
004010+041428,10.0428333,4.2413611,107.5
004013-044730,10.0542083,-4.7918889,215.0
004013+012546,10.0555,1.4296944,208.1
004018+094241,10.076125,9.7114444,393.8
004018-023117,10.0788333,-2.5216111,177.1
004020-004030,10.0835417,-0.6752222,399.9
004023+071636,10.096625,7.2766667,168.2
004024-091527,10.1015,-9.2575556,119.0
004026-151932,10.1124167,-15.32575,551.6
004030-024147,10.1275417,-2.6965833,115.7
004037-031645,10.1555833,-3.2793889,136.5
004049-094838,10.2042083,-9.8106111,349.5
004052+085429,10.21675,8.9081667,475.4
004053+085235,10.2226667,8.8764722,867.1
004055+025755,10.2294167,2.9653611,120.5
004057-014631,10.2400833,-1.7754444,573.2
004103-133551,10.2649583,-13.5977222,232.6
004106-131439,10.2767917,-13.2443611,121.8
004107-130729,10.2806667,-13.1249444,171.9
004112+073650,10.3013333,7.6140833,186.3
004120-034222,10.3341667,-3.7063333,120.1
004123-072334,10.349125,-7.3928056,112.6
004126-014315,10.3583333,-1.7208333,1033.6
004131-123246,10.3795417,-12.5463611,422.4
004132-004041,10.3835417,-0.6782222,110.4
004132+065750,10.384875,6.9639722,556.7
004135+090202,10.396625,9.0341389,162.1
004142-125615,10.4286667,-12.9375278,191.3
004147-143731,10.4494583,-14.6253333,231.3
004149-151832,10.45725,-15.3090556,156.7
004151-092548,10.4645417,-9.4301389,108.2
004153-070906,10.4715,-7.1516667,212.5
004158-180451,10.49175,-18.0808333,144.5
004203-080044,10.5155833,-8.0123333,112.6
004208-140101,10.5339167,-14.0170556,175.1
004216-075933,10.5693333,-7.9926389,112.7
004219-014409,10.579625,-1.736,138.8
004226+050523,10.611375,5.0897778,213.4
004230-092204,10.6265833,-9.3677778,105.4
004232-081546,10.6339167,-8.2630278,282.1
004234-125236,10.6440833,-12.8768611,105.1
004236-095148,10.6504583,-9.8634167,114.2
004236+032841,10.65325,3.4781389,207.3
004239+093048,10.6657083,9.5133333,121.0
004243-061132,10.6800417,-6.1924722,260.2
004245-061243,10.6905833,-6.2121667,407.0
004246-100336,10.6930833,-10.0601389,175.0
004247-031206,10.6962917,-3.2016944,105.1
004247-061457,10.6988333,-6.2493889,310.9
004248+020225,10.7,2.0402778,213.7
004250-061638,10.7084583,-6.27725,171.1
004256+032617,10.7346667,3.4381667,164.7
004258-075235,10.7421667,-7.8764722,109.1
004258-091346,10.7444583,-9.2295833,169.3
004259-161124,10.7461667,-16.1901667,147.5
004259-012735,10.747875,-1.4599722,123.6
004301-025349,10.75775,-2.8969444,108.2
004304-190814,10.76925,-19.1374444,175.7
004308-160455,10.786,-16.0821389,145.0
004323-001551,10.8484167,-0.2641944,167.4
004325-102922,10.856625,-10.4894722,219.1
004332+002459,10.886375,0.4165278,122.2
004333+064148,10.8914583,6.6968889,451.7
004337+060201,10.9064583,6.0336389,132.8
004343-033144,10.930125,-3.529,260.0
004345-025104,10.9415,-2.8512778,161.1
004354-151153,10.9759167,-15.1981667,217.7
004354-160451,10.9769583,-16.0808333,834.7
004401-021458,11.0060833,-2.2496111,116.4
004401+010029,11.008,1.0083056,144.4
004407+010300,11.0296667,1.0502222,205.7
004409-050703,11.0404583,-5.1175833,464.8
004412-142619,11.0525833,-14.4386111,163.7
